RANK,   0,   1,   2,   3,   4,   5,   6,   7
exploit/b=False,  38,  18,  11,   1,   1,   ,   ,   
exploit/b=True,  50,  12,   5,   2,   ,   ,   ,   
explore/b=False,  35,  14,  11,   6,   2,   1,   ,   
explore/b=True,  47,  15,   4,   2,   1,   ,   ,   
rrp       ,   9,  13,  19,  31,   5,   7,   8,   
asIs      ,   1,   2,   6,   3,   7,   ,   ,   4

#
#EVALS
RANK,         0,         1,         2,         3,         4,         5,         6,         7
exploit/b=False, 31.05 (7.81), 31.67 (7.81), 25.45 (7.81),       -      ,       -      ,          ,          ,          
exploit/b=True, 31.80 (7.81), 26.67 (7.81), 24.40 (4.69), 28.00 (3.12),          ,          ,          ,          
explore/b=False, 31.14 (7.81), 30.00 (7.81), 28.18 (7.81), 31.67 (7.81), 20.00 (0.00),       -      ,          ,          
explore/b=True, 32.13 (7.81), 27.33 (7.81), 23.00 (4.69), 28.00 (2.34),       -      ,          ,          ,          
rrp       , 7.44 (3.91), 6.46 (3.52), 9.21 (5.08), 9.58 (9.77), 13.00 (10.16), 8.00 (4.69), 9.00 (3.91),          
asIs      ,       -      , 3161.00 (230.47), 12834.67 (25262.50), 31950.00 (31816.41), 10206.43 (20886.72),          ,          , 2622.00 (1437.89)

#
#DELTAS
RANK,         0,         1,         2,         3,         4,         5,         6,         7
