dataset,method,n_components,last,policy,mean,std,time,xcols,xcols_reduced,rank,all_results
data/data2/SS-O.csv,Symbolic Dimensionality Reduction (5) with Kmeans Discretization,5.0,20,explore,0.5,0.0,0.5230870008468628,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Original,,20,Random,0.5,0.0,0.07157604694366455,10,10,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Feature Elimation (5) with EFB Discretization,5.0,20,FOCUS,0.5,0.0,0.070992112159729,10,6,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Dimensionality Reduction (5) with EFB Discretization,5.0,20,explore,0.5,0.0,0.12246489524841309,10,5,1,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Original,,20,exploit,0.5,0.0,0.07915960550308228,10,10,2,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Numeric Dimensionality Reduction (5),5.0,20,explore,0.5,0.0,0.06360706090927123,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Feature Elimation (5) with EFB Discretization,5.0,20,Random,0.5,0.0,0.037414157390594484,10,6,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Numeric Dimensionality Reduction (5),5.0,20,FOCUS,0.5,0.0,0.0662245512008667,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,FAMD (5),5.0,20,explore,0.5,0.0,0.06591451168060303,10,5,2,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Feature Elimation (5) with EFB Discretization,5.0,20,exploit,0.5,0.0,0.0506231427192688,10,6,2,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Dimensionality Reduction (5) with EFB Discretization,5.0,20,FOCUS,0.5,0.0,0.13550649881362914,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,FAMD (5),5.0,20,FOCUS,0.5,0.0,0.11828665733337403,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Feature Elimation (5) with Kmeans Discretization,5.0,20,explore,0.5,0.0,0.4195540428161621,10,6,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,FAMD (5),5.0,20,Random,0.5,0.0,0.054037201404571536,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Feature Elimation (5) with Kmeans Discretization,5.0,20,FOCUS,0.5,0.0,0.4247734069824219,10,6,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Dimensionality Reduction (5) with EFB Discretization,5.0,20,Random,0.49528301886792453,0.014150943396226412,0.12422795295715332,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.4528301886792453, 0.5, 0.4528301886792453, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Dimensionality Reduction (5) with EFB Discretization,5.0,20,exploit,0.5,0.0,0.13329290151596068,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Numeric Dimensionality Reduction (5),5.0,20,Random,0.4933962264150944,0.02069029452779368,0.06219394207000732,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.4528301886792453, 0.41509433962264153, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,FAMD (5),5.0,20,exploit,0.5,0.0,0.08289464712142944,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Feature Elimation (5) with Kmeans Discretization,5.0,20,Random,0.49575471698113205,0.018504759665974552,0.4227017521858215,10,6,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.41509433962264153]"
data/data2/SS-O.csv,Numeric Feature Elimination (5),5.0,20,explore,0.5,0.0,0.05929340124130249,10,6,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Feature Elimation (5) with Kmeans Discretization,5.0,20,exploit,0.5,0.0,0.3981945991516113,10,6,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Dimensionality Reduction (5) with Kmeans Discretization,5.0,20,Random,0.49575471698113205,0.018504759665974552,0.5365309953689575,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.41509433962264153, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Dimensionality Reduction (5) with Kmeans Discretization,5.0,20,exploit,0.5,0.0,0.5342371940612793,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Numeric Feature Elimination (5),5.0,20,FOCUS,0.49575471698113205,0.018504759665974552,0.07739208936691284,10,6,0,"[0.5, 0.5, 0.5, 0.41509433962264153, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Dimensionality Reduction (5) with Kmeans Discretization,5.0,20,FOCUS,0.5,0.0,0.5243881583213806,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Numeric Dimensionality Reduction (5),5.0,20,exploit,0.5,0.0,0.05683679580688476,10,5,3,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Numeric Feature Elimination (5),5.0,20,Random,0.49764150943396224,0.01028042203665253,0.07915829420089722,10,6,0,"[0.4528301886792453, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Original,,20,explore,0.5,0.0,0.03376849889755249,10,10,1,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
